Initials,Ability Name,Class,Level Req,Rarity,Difficulty,Dungeon,Source URL
SS,Chained Energy Blasts,Warrior,124,Rare,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Triple Blade Throw,Warrior,124,Epic,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Overcharge,Mage,124,Rare,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Chromatic Rain,Mage,124,Epic,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Arrow Barrage,Warrior,125,Epic,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
SS,Chain Lightning,Mage,125,Epic,SS:Nightmare,Steampunk Sewers,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Focus Beam,Warrior,135,Epic,OO:Insane,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Explosive Mine,Warrior,135,Epic,OO:Insane,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Ground Stomp,Warrior,135,Epic,OO:Insane,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Mystery Matter,Mage,135,Epic,OO:Insane,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Infernal Blast,Mage,135,Epic,OO:Insane,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Electric Grinder,Warrior,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Twin Slash,Warrior,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Vortex Grenade,Warrior,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Demonic Curse,Mage,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Molten Ball,Mage,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Electric Field,Mage,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
OO,Energy Orb,Mage,140,Epic,OO:Nightmare,Orbital Outpost,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Inner Rage,Warrior,150,Epic,VC:Insane,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Molten Shards,Warrior,150,Epic,VC:Insane,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Inner Focus,Mage,150,Epic,VC:Insane,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Lava Beam Orb,Mage,150,Epic,VC:Insane,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC|AT|EF|NL,Enhanced Inner Rage,Warrior,150,Legendary,VC:Nightmare|AT:Nightmare|EF:Nightmare|NL:Nightmare,Volcanic Chambers|Aquatic Temple|Enchanted Forest|Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
VC|AT|EF|NL,Enhanced Inner Focus,Mage,150,Legendary,VC:Nightmare|AT:Nightmare|EF:Nightmare|NL:Nightmare,Volcanic Chambers|Aquatic Temple|Enchanted Forest|Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Blade Fall,Warrior,155,Epic,VC:Nightmare,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Lava Barrage,Warrior,155,Epic,VC:Nightmare,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Amethyst Blast,Mage,155,Epic,VC:Nightmare,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
VC,Lava Cage,Mage,155,Epic,VC:Nightmare,Volcanic Chambers,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Spear Strike,Warrior,160,Rare,AT:Insane,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Water Orb,Mage,160,Rare,AT:Insane,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Ice Barrage,Warrior,165,Epic,AT:Nightmare,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Ice Crash,Warrior,165,Epic,AT:Nightmare,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Aquatic Smite,Mage,165,Epic,AT:Nightmare,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
AT,Ice Spikes,Mage,165,Epic,AT:Nightmare,Aquatic Temple,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Piercing Roots,Warrior,170,Rare,EF:Insane,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Fungal Poison,Mage,170,Rare,EF:Insane,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Revitalize,Healer,170,Epic,EF:Insane,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Crystalline Cannon,Warrior,175,Epic,EF:Nightmare,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Wind Blast,Warrior,175,Epic,EF:Nightmare,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Agony Orbs,Mage,175,Epic,EF:Nightmare,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
EF,Lightning Burst,Mage,175,Epic,EF:Nightmare,Enchanted Forest,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Frost Cone,Warrior,180,Rare,NL:Insane,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Flame Strike,Mage,180,Rare,NL:Insane,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Flame Shuriken,Warrior,185,Epic,NL:Nightmare,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Gale Barrage,Warrior,185,Epic,NL:Nightmare,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Geyser,Mage,185,Epic,NL:Nightmare,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
NL,Soul Drain,Mage,185,Epic,NL:Nightmare,Northern Lands,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,Solar Beam,Warrior,190,Epic,GS:Insane,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,Jade Roller,Mage,190,Epic,GS:Insane,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,Blade Barrage,Warrior,195,Epic,GS:Nightmare,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,God Spear,Warrior,195,Epic,GS:Nightmare,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,Amethyst Beams,Mage,195,Epic,GS:Nightmare,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
GS,Jade Rain,Mage,195,Epic,GS:Nightmare,Gilded Skies,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Triple Quake,Warrior,200,Epic,YP:Insane,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Chain Storm,Mage,200,Epic,YP:Insane,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Spirit Link,Healer,200,Epic,YP:Insane,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Kunai Knives,Warrior,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Spinning Blade Smash,Warrior,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Yokai Transformation,Warrior,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Void Dragon,Mage,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Rift Beam,Mage,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
YP,Hands Of Death,Mage,205,Epic,YP:Nightmare,Yokai Peak,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Shatterstrike,Warrior,210,Epic,AV:Insane,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Voidflames,Mage,210,Epic,AV:Insane,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Vengeful Taunt,Tank,210,Epic,AV:Insane,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Cleansing Beam,Tank/Healer,210,Epic,AV:Insane,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Mighty Cleave,Warrior,215,Epic,AV:Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Sacrificial Orbs,Mage,215,Epic,AV:Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Blood Pact,Tank,215,Epic,AV:Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Arcane Amplifier,Tank/Healer,215,Epic,AV:Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Gravity Leap,Warrior,210,Legendary,AV:Insane/Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
AV,Unstable Warp,Mage,210,Legendary,AV:Insane/Nightmare,Abyssal Void,https://dungeonquestroblox.fandom.com/wiki/Ability
